"Timestamp","Your Discord Username","Next Campaign Location [Caucasus]","Next Campaign Location [Kola]","Next Campaign Location [Marianas]","Next Campaign Location [NTTR]","Next Campaign Location [Persian Gulf]","Next Campaign Location [Sinai]","Next Campaign Location [South Atlantic]","Next Campaign Location [Afghanistan]","Next Campaign Location [Syria]","Next Campaign Location [Iraq]","Would you be willing to pay for a new terrain if our next campaign required it?"
"2025/03/07 3:00:39 PM AST","Acrylic","10 (Least Favorable)","2","3","4","5","6","7","1 (Most Preferred)","8","9","Yes."
"2025/03/07 3:01:06 PM AST","gator","6","10 (Least Favorable)","9","2","7","5","1 (Most Preferred)","4","8","3","No."
"2025/03/07 3:02:44 PM AST","CrustyPatriot","4","2","3","1 (Most Preferred)","10 (Least Favorable)","9","7","5","8","6","Yes."
"2025/03/07 3:03:35 PM AST","Mikko","6","7","3","10 (Least Favorable)","1 (Most Preferred)","9","8","4","2","5","Yes, if it were on sale."
"2025/03/07 3:05:01 PM AST","Marlboro","6","5","10 (Least Favorable)","3","8","7","2","1 (Most Preferred)","9","4","Yes."
"2025/03/07 3:08:54 PM AST","Tablet","10 (Least Favorable)","9","8","7","3","4","6","1 (Most Preferred)","5","2","Yes."
"2025/03/07 3:09:31 PM AST","tgamble","9","10 (Least Favorable)","8","6","7","5","1 (Most Preferred)","3","2","4","Yes, if it were on sale."
"2025/03/07 3:14:13 PM AST","Storkie","1 (Most Preferred)","9","10 (Least Favorable)","2","3","4","5","7","6","8","Yes, if it were on sale."
"2025/03/07 3:14:53 PM AST","Lanarsis","6","7","8","9","4","3","5","1 (Most Preferred)","10 (Least Favorable)","2","Yes."
"2025/03/07 3:15:20 PM AST","SpectreBit","6","7","9","4","5","10 (Least Favorable)","2","1 (Most Preferred)","8","3","Yes."
"2025/03/07 3:17:43 PM AST","Gaunter o dimm","3","10 (Least Favorable)","1 (Most Preferred)","4","2","9","8","7","5","6","No."
"2025/03/07 3:17:46 PM AST","Jupiter ","4","10 (Least Favorable)","5","6","7","8","1 (Most Preferred)","2","9","3","Yes, if it were on sale."
"2025/03/07 3:23:09 PM AST","Bones","4","3","5","6","7","10 (Least Favorable)","8","2","9","1 (Most Preferred)","No."
"2025/03/07 3:23:55 PM AST","Goku","4","8","9","2","5","6","10 (Least Favorable)","3","7","1 (Most Preferred)","Yes, if it were on sale."
"2025/03/07 3:24:00 PM AST","vader","4","10 (Least Favorable)","3","1 (Most Preferred)","5","2","7","9","6","8","Yes but I would really prefer not to."
"2025/03/07 3:24:41 PM AST","Jokerman","6","5","7","8","1 (Most Preferred)","3","9","10 (Least Favorable)","4","2","Yes."
"2025/03/07 3:32:42 PM AST","DMC","2","4","7","3","6","8","9","5","1 (Most Preferred)","10 (Least Favorable)","Yes."
"2025/03/07 3:37:37 PM AST","Twitchy","10 (Least Favorable)","8","9","4","5","3","7","1 (Most Preferred)","6","2","Yes."
"2025/03/07 3:38:17 PM AST","Smoke","8","10 (Least Favorable)","9","2","7","5","4","1 (Most Preferred)","6","3","Yes."
"2025/03/07 3:46:57 PM AST","TBone403","6","8","5","7","2","3","1 (Most Preferred)","9","4","10 (Least Favorable)","Yes but I would really prefer not to."
"2025/03/07 3:52:20 PM AST","jacesface","6","5","7","8","3","2","1 (Most Preferred)","10 (Least Favorable)","4","9","No."
"2025/03/07 3:53:40 PM AST","Abolfazl","2","5","4","6","3","7","8","9","1 (Most Preferred)","10 (Least Favorable)","No."
"2025/03/07 4:05:24 PM AST","U.S.S. Monitor","1 (Most Preferred)","7","4","8","3","5","6","10 (Least Favorable)","2","9","No."
"2025/03/07 4:52:16 PM AST","jloosh","3","8","2","10 (Least Favorable)","7","6","9","1 (Most Preferred)","4","5","Yes, if it were on sale."
"2025/03/07 7:21:15 PM AST","JDQUE96","3","10 (Least Favorable)","4","9","5","8","7","2","6","1 (Most Preferred)","Yes."
"2025/03/07 7:38:56 PM AST","Wild One","10 (Least Favorable)","5","7","9","6","4","8","1 (Most Preferred)","3","2","Yes."
"2025/03/07 10:22:05 PM AST","SFL Anni","8","3","10 (Least Favorable)","9","2","7","6","1 (Most Preferred)","4","5","Yes, if it were on sale."
"2025/03/07 10:40:42 PM AST","Redeye","10 (Least Favorable)","7","4","6","3","2","5","8","1 (Most Preferred)","9","Yes but I would really prefer not to."
"2025/03/07 10:40:43 PM AST","JayDub","5","6","4","1 (Most Preferred)","3","2","8","9","7","10 (Least Favorable)","Yes, if it were on sale."
"2025/03/08 12:10:20 AM AST","Gunny_Mays","10 (Least Favorable)","5","6","4","3","7","8","1 (Most Preferred)","9","2","Yes."
"2025/03/08 12:55:40 AM AST","Riptide","9","8","10 (Least Favorable)","7","6","5","3","1 (Most Preferred)","4","2","Yes."
"2025/03/08 4:05:11 AM AST","Dho","1 (Most Preferred)","9","4","5","2","7","8","6","3","10 (Least Favorable)","Yes but I would really prefer not to."
"2025/03/08 1:46:22 PM AST","Cap","9","10 (Least Favorable)","8","7","6","5","1 (Most Preferred)","3","4","2","Yes."
"2025/03/08 4:42:33 PM AST","Spectre5574","6","10 (Least Favorable)","7","8","5","1 (Most Preferred)","9","3","4","2","Yes."
"2025/03/08 6:28:39 PM AST","Spider","7","10 (Least Favorable)","8","3","4","5","9","2","6","1 (Most Preferred)","Yes but I would really prefer not to."
"2025/03/08 8:34:44 PM AST","Conehead","5","6","7","9","4","3","8","1 (Most Preferred)","2","10 (Least Favorable)","No."
"2025/03/09 10:54:16 AM AST","Wood","5","6","4","2","3","7","1 (Most Preferred)","10 (Least Favorable)","9","8","Yes."
"2025/03/10 1:06:04 PM AST","Nezuko with a gun","1 (Most Preferred)","10 (Least Favorable)","2","4","3","9","8","7","5","6","Yes but I would really prefer not to."
"2025/03/11 12:58:41 AM AST","C.S.S. Virginia","1 (Most Preferred)","7","4","5","3","6","8","10 (Least Favorable)","2","9","No."
"2025/03/11 9:34:14 AM AST","Maika","4","10 (Least Favorable)","5","6","7","9","2","1 (Most Preferred)","3","8","Yes."
